Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr2	164985	0.100247158651	0.0834801880946
chr2	165002	0.100250974388	0.0834818922963
chr2	170575	0.197637187941	0.0840405909766
chr2	170615	0.199985416841	0.0840484964641
chr2	170617	0.200968567248	0.0840488964349
chr2	171111	0.450336107854	0.0841481749071
chr2	171699	0.592550099402	0.0844129725386
chr2	180078	0.592550099402	0.0893779498214
chr2	180170	0.406013195174	0.0894324644306
chr2	180810	0.406013195174	0.0896923128755
chr2	189799	0.406044331959	0.0933419654869
chr2	189817	0.503949197481	0.0933492742849
chr2	191195	0.522484553817	0.094043716279
chr2	191317	0.539517310291	0.0941074593946
chr2	191376	0.564792112708	0.0941392909159
chr2	191394	0.568799424076	0.0941494571739
chr2	191398	0.921772781809	0.0941517323716
chr2	191661	0.937070570848	0.0943941586132
chr2	191824	0.9486208268	0.0945469011163
chr2	191930	1.79593718866	0.0946474549239
chr2	197567	1.79593718866	0.104771152856
chr2	197603	1.03916697281	0.104835806595
chr2	197607	0.782827087074	0.104839963263
chr2	198469	0.782827087074	0.105514760212
chr2	200117	0.782827087074	0.106804859252
chr2	200476	0.733383916952	0.107085894176
chr2	200746	0.733383916952	0.107283907834
chr2	210075	0.733383916952	0.114125646395
chr2	210308	0.682090452968	0.114296524847
chr2	210321	0.682090452968	0.114305392023
chr2	210710	0.682090452968	0.114570725209
chr2	211068	0.343872213899	0.114814913592
chr2	211132	0.323254270619	0.114836921413
chr2	211316	0.26227164771	0.114896400199
chr2	211385	0.188493556167	0.114914496943
chr2	212105	0.188493556167	0.115050212303
chr2	217093	0.188493556167	0.115990418161
chr2	217562	0.151016367142	0.116078821639
chr2	217825	0.151016367142	0.116118538944
chr2	218197	0.151016367142	0.116174717032
chr2	218385	0.139231709727	0.116203108109
chr2	218441	0.139231709727	0.116210905085
chr2	218475	0.0820376401677	0.116215638963
chr2	219460	0.0820376401677	0.116296446039
chr2	255579	0.0820376401677	0.119259563564
chr2	256115	0.0818815256949	0.119303535739
chr2	256222	0.081881525695	0.119312297062
chr2	280818	0.0935195653986	0.121326255068
chr2	285420	0.308970223342	0.121756632108
chr2	285470	0.67384162782	0.12177208062
chr2	305504	0.938091580018	0.135271823791
chr2	305556	1.52215371217	0.135320604553
chr2	305622	1.80761486494	0.135421066698
chr2	305802	3.23449460456	0.135746437374
chr2	306281	18.0094074878	0.13729576029
chr2	306289	21.3028015277	0.13743983555
chr2	310167	21.3028015277	0.220052099874
chr2	310297	20.0851456583	0.222821464073
chr2	310353	20.0851456584	0.223946232229
chr2	310508	18.9172131607	0.227059429806
chr2	310550	18.9172131607	0.227853952759
chr2	310686	5.25694300185	0.230426693749
chr2	311414	5.25694300186	0.234253748254
chr2	317257	5.25694300186	0.264970066214
chr2	317871	5.07451266554	0.268197829217
chr2	317963	5.07451266554	0.268664684383
chr2	318238	5.07451266555	0.270060175366
chr2	318840	1.56103077082	0.27311503199
chr2	318859	1.56103077082	0.273144691575
chr2	319104	1.56103077082	0.273527144114
chr2	319153	1.16528220187	0.273603634622
chr2	319194	1.16528220188	0.273651411192
chr2	319393	0.59329483373	0.27388330235
chr2	319438	0.562777421948	0.273910000618
chr2	319463	0.562777421948	0.273924070053
chr2	319482	0.562777421949	0.273934762824
chr2	319919	0.533517575719	0.274180696558
chr2	320000	0.485646584241	0.274223911481
chr2	320035	0.45164055344	0.274240909112
chr2	320322	0.451640553441	0.27437052995
chr2	336679	0.857116557074	0.281758014483
chr2	337220	1.17978036023	0.28222171454
chr2	338016	1.24351228126	0.283160819707
chr2	338225	1.29336158008	0.283420713774
chr2	345727	1.29336158008	0.293123512348
chr2	345888	0.909217992586	0.293331743562
chr2	346093	0.909217992587	0.293518133251
chr2	353273	0.909217992587	0.300046318437
chr2	353286	0.899409453235	0.300058138271
chr2	353609	0.829017252605	0.300348647525
chr2	353652	0.670988862746	0.300384295267
chr2	353961	0.670988862746	0.300591630825
chr2	354152	0.559072363506	0.300719789698
chr2	354240	0.490151154991	0.300768988066
chr2	354286	0.474652340343	0.300791535019
chr2	354338	0.442027308239	0.300816216941
chr2	354559	0.366512273467	0.300913904976
chr2	354598	0.366512273467	0.300928198955
chr2	355704	0.366512273467	0.301333561529
chr2	355799	0.255308432375	0.301368380195
chr2	356028	0.255308432375	0.301426845826
chr2	379455	0.308050050515	0.307407956471
chr2	379553	0.372293731905	0.307438145376
chr2	379568	0.392063964704	0.307443729782
chr2	379642	0.404212220844	0.307472742516
chr2	379662	0.406629204062	0.30748082676
chr2	379679	1.34971657476	0.307487739456
chr2	380033	1.89798204535	0.307965539124
chr2	380054	2.33855102497	0.308005396747
chr2	380766	3.39422622035	0.309670445077
chr2	393254	7.0588981824	0.352057542116
chr2	395707	13.7172810084	0.369373019358
chr2	400825	13.7172810084	0.439578063559
chr2	400978	1.05687741436	0.441676807553
chr2	401018	0.471212063689	0.441719082649
chr2	401099	0.459068723704	0.441757250827
chr2	401183	0.316974155744	0.441795812599
chr2	401318	0.192752439102	0.44183860411
chr2	401676	0.192752439103	0.441907609484
chr2	416213	0.201330514874	0.444709651691
chr2	416333	0.261856291042	0.444733811353
chr2	416814	0.547729247646	0.444859764229
chr2	424334	0.580236918566	0.448978688171
chr2	424365	0.77154318885	0.448996675515
chr2	430714	0.840373525095	0.453895203221
chr2	435402	0.840373525095	0.457834874307
chr2	435990	0.773977085223	0.45832901394
chr2	436642	0.773977085223	0.458833646999
chr2	442078	0.810941001357	0.463040986435
chr2	451527	2.13449263122	0.470703567956
chr2	455587	2.13449263122	0.479369608039
chr2	455682	1.31223905474	0.479572384839
chr2	456592	1.29700469333	0.480766522379
chr2	456908	1.29700469333	0.481176375862
chr2	457201	1.28692442764	0.481556398237
chr2	457319	0.891631338322	0.48170825532
chr2	458328	0.891631338323	0.48260791134
chr2	458756	0.891631338323	0.482989529553
chr2	458911	0.780476598904	0.48312773241
chr2	458995	0.780476598905	0.483193292445
chr2	459075	0.683563090808	0.483255730573
chr2	459127	0.541262157733	0.483291275853
chr2	459132	0.541262157734	0.483293982164
chr2	459388	0.541262157734	0.483432545276
chr2	459533	0.463180337439	0.483511028289
chr2	459570	0.439145635196	0.483528165962
chr2	459655	0.439145635197	0.483565493341
chr2	467734	0.439145635197	0.487113350928
chr2	468007	0.410605059084	0.487233237686
chr2	468040	0.400207803793	0.487246787653
chr2	468116	0.400207803793	0.487277203446
chr2	468139	0.400207803794	0.487286408225
chr2	468152	0.389807934541	0.487291610927
chr2	468204	0.389807934541	0.48731188094
chr2	474100	0.748856932081	0.489610188522
chr2	475566	1.38171757846	0.490708012784
chr2	475835	1.95091994987	0.491079694813
chr2	475839	2.02089607634	0.491087498492
chr2	480581	2.02089607634	0.500670587686
chr2	480775	1.9806920186	0.501062641525
chr2	480808	1.96551577532	0.501128004362
chr2	480824	1.2664201057	0.501159452614
chr2	481364	1.2281005303	0.501843319471
chr2	481450	1.20364115276	0.501948936117
chr2	481503	0.758189839347	0.502012729098
chr2	481857	0.758189839347	0.502281128301
chr2	488547	0.961601692576	0.507353418326
chr2	493652	1.27226130437	0.512262394967
chr2	494155	1.96462857254	0.512902342403
chr2	495297	1.96462857254	0.515145948233
chr2	495717	1.96448254772	0.515971092233
chr2	495747	1.77115351761	0.51603002671
chr2	495777	1.77115351761	0.516083161315
chr2	495807	1.77115351761	0.516136295921
chr2	495818	1.69591259638	0.51615577861
chr2	495831	1.46676909211	0.516177825473
chr2	495973	1.46676909211	0.516386106684
chr2	501911	1.46676909211	0.525095781553
chr2	502022	1.20813077583	0.525258592923
chr2	502119	1.20813077583	0.525375781608
chr2	502216	1.18425894159	0.525492970293
chr2	502573	1.18425894159	0.525915750735
chr2	502646	1.1695379759	0.526002201638
chr2	503083	1.16953797591	0.526513289733
chr2	503877	1.16953797591	0.527441902886
chr2	504242	0.919887697478	0.527868784247
chr2	504307	0.919887697478	0.527928576948
chr2	504581	0.919887697479	0.528180626177
chr2	504766	0.526653859614	0.528350805401
chr2	505153	0.526653859615	0.528554620445
chr2	505170	0.515830070359	0.52856357356
chr2	505421	0.51583007036	0.528693046908
chr2	505642	0.457043566531	0.528807045353
chr2	506268	0.445925571854	0.529093154626
chr2	506732	0.424713231646	0.529300064091
chr2	506781	0.424713231646	0.52932087504
chr2	527971	0.424713231646	0.538320548418
chr2	528928	0.279878002963	0.538726998981
chr2	529516	0.279878002963	0.538891567247
chr2	546397	0.30749529865	0.543616187815
chr2	546448	0.362038739677	0.543631870075
chr2	546535	0.375008670084	0.543663367445
chr2	546540	0.562173424293	0.543665242489
chr2	546609	0.607601658192	0.543704032455
chr2	552226	0.607601658193	0.547116930969
chr2	552492	0.378325688907	0.54727855301
chr2	552557	0.372721191893	0.54730314418
chr2	552585	0.278997522479	0.547313580373
chr2	552832	0.27899752248	0.547382492761
chr2	554495	0.27899752248	0.547846465641
chr2	554535	0.177565644854	0.547857625542
chr2	554642	0.161979907695	0.547876625066
chr2	554663	0.144746063567	0.547880026644
chr2	554706	0.144746063567	0.547886250725
chr2	554730	0.144746063567	0.54788972463
chr2	554749	0.126324033541	0.547892474806
chr2	554787	0.126324033542	0.547897275119
chr2	558649	0.127104702372	0.548385138537
chr2	558748	0.133519417982	0.548397721902
chr2	558859	0.133526043926	0.548412542557
chr2	566187	0.19542722217	0.549391021407
chr2	566281	0.199372336178	0.549409391566
chr2	566751	0.361827411477	0.549503096564
chr2	566841	0.364004561635	0.549535661031
chr2	574306	0.41212636866	0.552252955084
chr2	574367	0.639493856797	0.552278094792
chr2	574800	0.641318505628	0.552554995632
chr2	575563	0.666797557199	0.553044321652
chr2	580869	0.668694781539	0.556582349491
chr2	581262	0.874624909226	0.55684514654
chr2	581337	0.87500113273	0.556910743408
chr2	581411	0.936994346305	0.556975493492
chr2	581413	1.05841227125	0.55697736748
chr2	584522	1.05841227125	0.560267971232
chr2	584562	0.891249351859	0.560310307723
chr2	584744	0.225386975699	0.560472515105
chr2	584871	0.137911570841	0.560501139251
chr2	584969	0.137911570841	0.560514654585
chr2	591574	0.271268652456	0.56142556051
chr2	592266	0.300478299634	0.561613278417
chr2	594558	3.54833647552	0.56230197468
chr2	595038	6.41945105048	0.564005176188
chr2	596628	15.6583360919	0.574212103359
chr2	598597	15.6583360919	0.605043367124
chr2	598781	9.38051807899	0.607924500965
chr2	599203	9.380518079	0.611883079594
chr2	599280	5.10002455975	0.612605379486
chr2	599363	5.10002455975	0.613028681524
chr2	599546	5.10002455975	0.613961986019
chr2	599607	0.349427186788	0.614273087517
chr2	599815	0.318898866032	0.614345768372
chr2	600411	0.318898866032	0.614535832096
chr2	610087	0.438869869472	0.617621497524
chr2	610269	1.05706260521	0.61770137184
chr2	610602	1.7658946323	0.618053373688
chr2	612363	1.7658946323	0.621163114135
chr2	612427	1.54471039678	0.621276131392
chr2	612452	1.53200165547	0.621314749151
chr2	612481	1.53200165547	0.621359177199
chr2	612514	1.53200165547	0.621409733254
chr2	612628	1.05254761648	0.621584381443
chr2	612650	0.703081913812	0.62160753749
chr2	613153	0.309715082964	0.621961187693
chr2	613289	0.309715082965	0.622003308944
chr2	614167	0.309715082965	0.622275238787
chr2	614209	0.304759420932	0.622288246821
chr2	614234	0.209186258495	0.622295865806
chr2	614374	0.209186258495	0.622325151882
chr2	617290	0.214451034245	0.622935139012
chr2	618359	0.375084942938	0.623164387168
chr2	618426	0.970277437139	0.623189517859
chr2	618801	1.37029165448	0.623553371898
chr2	621114	1.37029165448	0.626722856495
chr2	621184	0.416407469599	0.62681877691
chr2	621253	0.313453022014	0.626847509026
chr2	621272	0.20543788655	0.626853464633
chr2	621359	0.205437886551	0.626871337729
chr2	621460	0.205437886551	0.626892086956
chr2	621557	0.111712827808	0.626912014431
chr2	621732	0.111712827808	0.626931564176
chr2	628503	0.390427175327	0.627687971733
chr2	628523	0.775199644207	0.627695780276
chr2	629600	0.775199644208	0.628530670293
chr2	629693	0.745013084024	0.62860276386
chr2	629764	0.745013084025	0.628655659789
chr2	629803	0.373845196206	0.628684715299
chr2	629804	0.373631046752	0.628685089145
chr2	629816	0.325702654871	0.628689572717
chr2	629817	0.246417518534	0.62868989842
chr2	629830	0.107570379951	0.628693101847
chr2	629880	0.107570379951	0.628698480366
chr2	632347	0.312607178019	0.628963856494
chr2	632378	1.10417555781	0.628973547316
chr2	632759	1.10417555781	0.629394238204
chr2	632807	0.225233059744	0.629447238631
chr2	632903	0.225233059745	0.629468861004
chr2	632921	0.225233059745	0.629472915199
chr2	632924	0.196894079782	0.629473590899
chr2	632993	0.196894079782	0.62948717659
chr2	633443	0.196894079782	0.629575778926
chr2	633658	0.16941499284	0.629618111153
chr2	633659	0.169356422742	0.629618280568
chr2	633660	0.164082607373	0.629618449925
chr2	633918	0.154870024723	0.629660783237
chr2	634271	0.117216584432	0.629715452356
chr2	634287	0.113510727941	0.629717327821
chr2	634419	0.113229743564	0.629732311237
chr2	634475	0.0984408160591	0.629738652103
chr2	634825	0.0984408160592	0.629773106389
chr2	634904	0.0963776742924	0.629780883213
chr2	635003	0.0923380926282	0.629790424603
chr2	635153	0.0905346362998	0.629804275317
chr2	635157	0.0905346362998	0.629804637455
chr2	635159	0.0878920591236	0.629804818525
chr2	635199	0.0853354710376	0.629808334207
chr2	635255	0.0853354710376	0.629813112993
chr2	639059	0.0853354710377	0.630137729125
chr2	639060	0.084598545739	0.630137814461
chr2	639584	0.084598545739	0.630182144099
chr2	653194	0.158904631951	0.631333530306
chr2	653244	0.159747815003	0.631341475538
chr2	653353	0.168242586235	0.63135888805
chr2	653574	0.439436423627	0.631396069661
chr2	653580	0.932916055721	0.63139870628
chr2	653873	2.44730763385	0.631672050684
chr2	655221	2.44730763385	0.634971021374
chr2	656311	0.777468867892	0.637638586695
chr2	656321	0.64893567075	0.637646361384
chr2	656449	0.64893567075	0.63772942515
chr2	659957	5.16887860416	0.640005891483
chr2	660103	21.7952550716	0.640760547759
chr2	661501	21.7952550716	0.671230314349
chr2	661640	2.67473370854	0.674259854804
chr2	661644	1.0187760259	0.674270553739
chr2	661766	0.774979690046	0.674394844414
chr2	662025	0.774979690046	0.674595564154
chr2	663482	0.774979690046	0.675724709562
chr2	663593	0.582984083034	0.675810732308
chr2	663886	0.550762385162	0.675981546644
chr2	664616	0.550762385162	0.676383603185
chr2	676159	1.07689175928	0.682741053397
chr2	676456	3.22416471813	0.68306089025
chr2	680660	0.233906307742	0.696615278725
chr2	682020	0.207271770497	0.696933391303
chr2	701454	0.261262421904	0.700961510891
chr2	701985	0.749034290183	0.701100241237
chr2	705635	0.749034290183	0.703834216396
chr2	706399	1.18284584823	0.704406478594
chr2	706427	1.24493660702	0.704439598278
chr2	706670	1.24493660702	0.704742117873
chr2	710609	1.18181907466	0.709645923168
chr2	715111	1.18181907466	0.714966472643
chr2	715438	1.50937218341	0.71535292748
chr2	715587	1.50937218341	0.715577823935
chr2	718346	1.50937218341	0.719742181789
chr2	718743	2.87009149665	0.720341402546
chr2	719536	2.87009149665	0.722617385103
chr2	721458	1.5906067689	0.72813370096
chr2	722061	0.739795820898	0.729092836841
chr2	722215	0.328913394791	0.729206765398
chr2	722230	0.238542755033	0.729211699099
chr2	722255	0.142721714361	0.729217662667
chr2	729639	0.142721714361	0.730271519806
chr2	729947	5.19082043706	0.730315478094
chr2	730041	5.19082043706	0.730803415215
chr2	731633	0.158915618559	0.739067201351
chr2	734188	0.123702602101	0.739473230757
chr2	734332	0.118391218075	0.739491043931
chr2	734344	0.107783793084	0.739492464626
chr2	734515	0.103603912729	0.739510895655
chr2	738134	0.0594133035394	0.739885838215
chr2	745896	0.0594133035394	0.740347004277
chr2	746034	0.061686753153	0.740355203313
chr2	746123	0.112235059446	0.740360693434
chr2	746191	0.202726563582	0.740368325418
chr2	746492	0.202726563582	0.740429346113
chr2	755043	0.200814550265	0.742162860959
chr2	755052	0.196360492331	0.742164668289
chr2	755137	0.159025020682	0.742181358931
chr2	755561	0.134333274439	0.74224878554
chr2	755651	0.0938666763156	0.742260875535
chr2	758552	0.0754100511723	0.742533182763
chr2	758603	0.0477483172567	0.742537028675
chr2	758760	0.0441931301826	0.742544525161
chr2	758948	0.0349862162063	0.74255283347
chr2	770744	0.0349862162063	0.742965530876
chr2	770771	0.0356107974726	0.742966475504
chr2	771332	0.0421025276225	0.742986453161
chr2	771514	0.0865809301951	0.742994115821
chr2	771562	0.0865809301951	0.742998271706
chr2	774136	0.0865809301951	0.74322113102
chr2	774213	0.0989319183021	0.743227797752
chr2	774221	0.0989319183021	0.743228589207
chr2	774468	0.0989319183021	0.743253025391
chr2	774729	0.177616492908	0.743278846622
chr2	774754	0.177616492908	0.743283287034
chr2	774828	0.190971333124	0.743296430655
chr2	774878	0.190971333124	0.743305979221
chr2	775202	0.190971333124	0.743367853933
chr2	775508	0.408142961601	0.743426291161
chr2	775610	2.26029056136	0.743467921743
chr2	775618	5.75117653738	0.743486004068
chr2	775832	5.75117653738	0.744716755847
chr2	775838	5.75117653738	0.744751262906
chr2	776006	10.7398198532	0.745717460564
chr2	776084	10.7398198532	0.746555166513
chr2	776426	10.7398198532	0.750228184903
chr2	776476	15.2703445633	0.750765175895
chr2	776604	15.2703445633	0.752719779999
chr2	778643	11.3394548679	0.783856012564
chr2	778664	8.32806905091	0.784094141116
chr2	778668	7.33093229314	0.784127453392
chr2	779220	4.47661259093	0.788174128018
chr2	779268	4.03677096447	0.788389005422
chr2	779844	2.47479794996	0.790714185498
chr2	780357	0.692465688656	0.791983756846
chr2	795168	0.692465688656	0.802239866161
chr2	795859	0.72681224291	0.802718359952
chr2	795890	0.843621353192	0.802740891131
chr2	795932	0.843621353192	0.802776323228
chr2	799876	0.720932804067	0.806103565845
chr2	799991	0.707375808736	0.806186473118
chr2	800035	0.704091417266	0.806217597653
chr2	800279	0.438074431701	0.806389395959
chr2	808547	0.448177037174	0.81001139536
chr2	824499	0.449449074732	0.817160715457
chr2	831669	0.449449074732	0.820383265323
chr2	831752	0.235556363684	0.820420569596
chr2	831860	0.235556363684	0.820446009684
chr2	831893	0.159582744921	0.820453783044
chr2	831924	0.159582744921	0.820458730109
chr2	841218	0.177225485031	0.82194189214
chr2	841366	0.201155114878	0.821968121512
chr2	841532	0.245941093896	0.822001513261
chr2	841664	0.541038728809	0.822033977485
chr2	845237	1.16161424269	0.823967108863
chr2	845243	6.69863165056	0.823974078549
chr2	845288	10.37760219	0.824275516973
chr2	845401	10.37760219	0.825448186021
chr2	845474	7.44260645155	0.82620575098
chr2	845513	3.17930436709	0.826496012632
chr2	845591	3.17930436709	0.826743998373
chr2	846001	3.17930436709	0.828047513163
chr2	846051	0.257858248084	0.828206478381
chr2	846163	0.257858248084	0.828235358505
chr2	853186	0.619837480902	0.830046296982
chr2	855555	0.672468290703	0.831514691974
chr2	855559	0.80631392357	0.831517381847
chr2	855692	1.35297660537	0.831624621599
chr2	855707	2.06915722841	0.831644916248
chr2	857740	2.06915722841	0.835851512893
chr2	857759	0.761970056641	0.835890826881
chr2	857940	0.724684697221	0.836028743461
chr2	858061	0.724684697221	0.836116430309
chr2	861027	0.940077997772	0.838265845121
chr2	861131	1.22416679021	0.838363613233
chr2	861622	1.31247565354	0.838964679127
chr2	861992	1.4219728342	0.839450295119
chr2	862055	1.49751097792	0.839539879407
chr2	862183	2.36734563212	0.839731560812
chr2	864993	2.36734563212	0.846383802039
chr2	865057	1.38826185978	0.846535312159
chr2	865128	0.38987685936	0.846633878751
chr2	865360	0.38987685936	0.846724330183
chr2	874718	0.38987685936	0.850372797832
chr2	874779	0.304934471165	0.850396580321
chr2	875120	0.304934471165	0.850500562976
chr2	884800	0.304934471166	0.853452328656
chr2	884863	0.224470649186	0.853471539528
chr2	884870	0.199366883409	0.853473110823
chr2	885002	0.199366883409	0.853499427251
chr2	902309	4.36442662902	0.856949869902
chr2	903236	5.95526116164	0.860995693388
chr2	906062	5.95526116165	0.87782526143
chr2	906228	2.42213170537	0.878813834783
chr2	906431	2.42213170537	0.879305527519
chr2	908615	2.69858616527	0.884595463164
chr2	910846	2.69858616527	0.890616008899
chr2	911019	0.0906140613239	0.891082864305
chr2	911097	0.090614061324	0.891089932202
chr2	922554	0.097927277398	0.892128097503
chr2	922669	0.15390944866	0.892139359139
chr2	922702	0.15483301458	0.892144438151
chr2	922731	0.173076983592	0.892148928309
chr2	927414	0.803132117732	0.892959447823
chr2	927420	3.32731177358	0.892964266616
chr2	928568	4.63792128813	0.896784020532
chr2	931500	4.63792128813	0.910382405748
chr2	931641	1.0165784471	0.91103635265
chr2	931744	0.475656607234	0.91114106023
chr2	931864	0.475656607234	0.911198139023
chr2	935675	0.475656607234	0.913010866353
chr2	936686	0.339565676081	0.913491755183
chr2	936799	0.339565676081	0.913530126104
chr2	940125	0.339565676081	0.914659521543
chr2	940776	0.295734068846	0.914880578798
chr2	941425	0.295734068846	0.915072510209
chr2	941533	0.295734068846	0.915104449488
chr2	941677	0.29230231054	0.915147035194
chr2	941931	0.29230231054	0.915221279981
chr2	954305	0.592474676999	0.918838228772
chr2	960382	0.742705499814	0.922438697384
chr2	963865	0.742705499814	0.92502554064
chr2	964081	0.639429625072	0.925185965028
chr2	964095	0.609727920475	0.925194917042
chr2	964441	0.609727920475	0.925405882903
chr2	964654	0.167754626881	0.92553575495
chr2	964711	0.167754626881	0.925545316964
chr2	971340	0.176047208665	0.926657362385
chr2	978406	0.176047208665	0.927901311962
chr2	978438	0.262246724352	0.927906945472
chr2	978646	0.262246724352	0.927961492791
chr2	978846	0.274875094372	0.928013942136
chr2	978881	0.274875094372	0.928023562764
chr2	978887	0.275064009755	0.928025212015
chr2	979247	0.275064009755	0.928124235058
chr2	980064	0.275064009755	0.928348962354
chr2	980157	0.905820360625	0.928374543307
chr2	980190	0.905820360625	0.928404435379
chr2	984386	0.201900695165	0.932205257612
chr2	984465	0.174827083446	0.932221207767
chr2	984668	0.0851261247159	0.932256697665
chr2	1002244	0.0851261247159	0.933752874433
chr2	1002677	0.150920315423	0.933789734045
chr2	1002688	0.150920315423	0.933791394169
chr2	1002740	0.229465187547	0.933799242025
chr2	1002742	0.24012330713	0.933799700955
chr2	1002743	0.332242374369	0.933799941079
chr2	1003052	0.332242374369	0.933902603972
chr2	1003567	0.332242374369	0.934073708795
chr2	1003736	0.44702050304	0.934129857756
chr2	1003756	1.29290082816	0.934138798167
chr2	1003948	1.29290082816	0.934387035126
chr2	1006970	1.29290082816	0.938294181428
chr2	1007186	1.88935663331	0.938573448007
chr2	1007590	1.88935663331	0.939336748087
chr2	1010637	0.351262555149	0.945093617749
chr2	1011240	0.210492934624	0.945305429069
chr2	1033755	0.210492934624	0.950044677492
chr2	1033889	0.778200183409	0.950072883546
chr2	1034304	0.778200183409	0.950395836622
chr2	1045605	0.778200183409	0.959190276895
chr2	1045706	3.34848144908	0.959268875113
chr2	1046099	3.34848144908	0.960584828323
chr2	1048461	3.34848144908	0.968493941505
chr2	1048649	9.23992314745	0.969123456018
chr2	1048666	9.23992314745	0.969280534711
chr2	1049866	0.896261289764	0.980368442488
chr2	1054850	0.69137849742	0.984835408756
chr2	1055143	0.100236172939	0.985037982656
chr2	1055275	0.0956198276025	0.985051213831
chr2	1064848	0.0956198276025	0.985966582441
chr2	1064884	0.183749989483	0.985970024754
chr2	1064887	0.291646920053	0.985970576004
chr2	1065213	0.291646920053	0.9860656529
chr2	1069605	0.102763505795	0.987346566173
chr2	1082999	0.102763505795	0.98872298057
chr2	1083363	0.134280484121	0.988760386486
chr2	1083823	0.134280484121	0.988822155509
chr2	1085853	0.134280484121	0.989094744891
chr2	1086509	1.58081740882	0.989182832889
chr2	1086854	1.58081740882	0.989728214895
chr2	1089410	1.58081740882	0.993768784192
chr2	1089734	4.61051033748	0.994280969032
chr2	1089742	4.61051033747	0.994317853115
chr2	1091830	2.14184285337	1.0039445987
chr2	1092044	2.0347889866	1.00440295307
chr2	1092194	0.466281777957	1.00470817142
chr2	1092227	0.448881919911	1.00472355872
chr2	1100686	0.448881919911	1.00852065088
chr2	1100904	0.954284132615	1.00861850714
chr2	1101079	0.954284132615	1.00878550686
chr2	1102537	0.442235811177	1.01017685312
chr2	1116221	0.442235811177	1.01622840796
chr2	1116327	0.796937359928	1.01627528496
chr2	1116647	8.75844312548	1.01653030492
chr2	1116729	8.75844312547	1.01724849725
chr2	1117510	3.89608204965	1.02408884133
chr2	1117511	0.20031831323	1.02409273742
chr2	1120043	0.193349351152	1.02459994338
chr2	1126920	0.193349351152	1.02592960687
chr2	1127015	0.46296202446	1.02594797506
chr2	1127316	0.46296202446	1.02608732663
chr2	1132220	0.46296202446	1.0283576924
chr2	1132621	0.846314164343	1.02854334017
chr2	1133072	1.17443829679	1.02892502786
chr2	1133366	2.87819178721	1.02927031272
chr2	1133892	2.87819178721	1.0307842416
chr2	1137656	1.76479323271	1.04161775548
chr2	1138928	0.307793036593	1.04386257248
chr2	1144624	0.236900483509	1.04561576161
chr2	1144628	0.169962578761	1.04561670921
chr2	1146774	0.169962578761	1.04598144891
chr2	1146794	0.243020668015	1.04598484816
chr2	1146827	0.567182543145	1.04599286784
chr2	1146890	0.567182543145	1.04602860034
chr2	1150052	0.567182543145	1.04782203154
chr2	1150094	0.76682845763	1.04784585321
